復興的主宰 - https://www.youtube.com/watch?v=xlLvvU96n60
Worthy - https://www.youtube.com/watch?v=Ak5WTb-mgeA
我向祢禱告 - https://youtu.be/yHpG4lrW1sA
迎近聖所 - 
主愛永存(惟一存留) - https://www.youtube.com/watch?v=_y3K2Qvr6iM

主愛大能 - A
助我走近你 - A
天父我愛祢 - C
降下祢恩雨 - C
主啊祢慈愛 - D
榮耀神羔羊 - D
我在祢手中 - E
耶穌祢是我生命中心 - E
主啊臨在這裡 - F
我要頌讚我主美好的愛 - F
有誰能像你 - G
求來主聖靈 - G

我主 - A
神愛是永遠長存 - A
詩篇43篇 - C
興起唱哈利路亞 - C
奉主聖名 - D
主啊祢配得受讚美 - D
我的主活著 - E
大哉我全能的主 - E
我的主在這裡 - F
神祢是我的一切 - F 
更深呼求 - G 
誰能去敵擋我主 - G

高天上顯尊貴 - G
基督我心中熱戀 - G

祢愛那麼深 - A
榮美的救主 - A 
藉我湧流 - Bb 
主的國度 - C 
我牧者我神 - C 
開路者 - D
要祢更多 - D 
Hosanna - E 
我永不孤單 - E
我舉雙手 - F
敬拜的心 - F
祢同在就似恩雨 - F
主寶血 - G
我身份得祢賜我 - G 
因祢聖名我們敬拜 - G  
