我一生要歌頌 - F
向主呼喊 - A
我舉兩手 - A
主祢本為大 - A
祢愛那麼深 - A
神羔羊 - A
祢走近 - A
祢美善 - A
祢真好 - A
聖潔主 - A
神的羔羊 - A
與祢一起 - A
噢讚祢名 - A
醫治這地 - A
榮美的救主 - A
因祂活著（阿們）- A
我站立敬畏祢 - A
基督是我滿足 - A/G
祢配得至聖尊榮 - A
呼求聖靈 - Bb
活在我心 - Bb
藉我湧流 - Bb
打開我雙眼 - Bb
我主配受尊貴 - Bb
要知主愛更深 - Bb
神的聖靈真歡迎祢同在 - Bb
真基石 - C
主的國度 - C
因祢良善 - C
祢的教會 - C
被祢吸引 - C
最大的事 - C
請祢停留 - C
我牧者我神 - C
恩主的善美 - C
祢坐著為王 - C
主祢恩膏臨在 - C
救主我生命主 - C
我單單只想稱頌 - C
奉獻 - D
我確信 - D
信實神 (信實神永不改變)
開路者 - D
全心委身 - D
我愛主祢 - D
奇哉主愛 - D
要祢更多 - D
唯祢堅固 - D
我獻上自己 - D
神真正心意 - D
我永遠的救主 - D
我是主的子女 (用救恩的歌) - D
容我作祢僕役 - D
一生不要失去祢 - D
祢吸引我朝見祢 - D
那有可比我主美麗 - D
Hosanna - E
讓我 - E
充滿我 - E
可真有 - E
臨到我 - E
主祢降臨 - E
在幔子裡 - E
深深愛祢 - E
聖潔居所 - E
萬千理由 - E
我永不孤單 - E
我信靠耶穌 - E
藏身十架影中 - E
